Tari Saman,Tarian,Aceh,http://dbpedia.org/resource/Saman_(dance)
Nasi Gandul,Makanan,Jawa Tengah,https://www.wikidata.org/wiki/Q12500151
Tari Gambyong,Tarian,Jawa Tengah,https://id.wikipedia.org/wiki/Tari_Gambyong
Tari Legong,Tarian,Bali,http://www.baliprov.go.id
Rendang,Makanan,Sumatra Barat,http://dbpedia.org/resource/Rendang
